source_schema	source_table	source_column	target_schema	target_table	target_column	declaration_kind	declaration_paths
support	ticket	updated_by_id	public	people	id	mixin_expansion	app/models/support/ticket.py:78 via app/models/people/base.py:66
support	ticket_attachment	uploaded_by_id	public	people	id	explicit	app/models/support/attachment.py:97
support	ticket_comment	author_id	public	people	id	explicit	app/models/support/comment.py:106
training	academy_learning_progress	employee_id	hr	employee	employee_id	explicit	app/models/people/training/academy.py:159
training	academy_learning_requirement	created_by	public	people	id	explicit	app/models/people/training/academy.py:110
training	training_attendee	created_by_id	public	people	id	mixin_expansion	app/models/people/training/training_event.py:226 via app/models/people/base.py:61
training	training_attendee	employee_id	hr	employee	employee_id	explicit	app/models/people/training/training_event.py:261
training	training_attendee	updated_by_id	public	people	id	mixin_expansion	app/models/people/training/training_event.py:226 via app/models/people/base.py:66
training	training_course	created_by	public	people	id	explicit	app/models/people/training/learning_assessment.py:179
training	training_course_assignment	assigned_by	public	people	id	explicit	app/models/people/training/learning_assessment.py:915
training	training_course_assignment	employee_id	hr	employee	employee_id	explicit	app/models/people/training/learning_assessment.py:910
training	training_course_progress	employee_id	hr	employee	employee_id	explicit	app/models/people/training/learning_assessment.py:1006
training	training_event	created_by_id	public	people	id	mixin_expansion	app/models/people/training/training_event.py:58 via app/models/people/base.py:61
training	training_event	trainer_employee_id	hr	employee	employee_id	explicit	app/models/people/training/training_event.py:147
training	training_event	updated_by_id	public	people	id	mixin_expansion	app/models/people/training/training_event.py:58 via app/models/people/base.py:66
training	training_exam_answer	graded_by	public	people	id	explicit	app/models/people/training/learning_assessment.py:1258
training	training_exam_attempt	employee_id	hr	employee	employee_id	explicit	app/models/people/training/learning_assessment.py:1152
training	training_lesson_progress	employee_id	hr	employee	employee_id	explicit	app/models/people/training/learning_assessment.py:1091
training	training_program	created_by_id	public	people	id	mixin_expansion	app/models/people/training/training_program.py:45 via app/models/people/base.py:61
training	training_program	updated_by_id	public	people	id	mixin_expansion	app/models/people/training/training_program.py:45 via app/models/people/base.py:66
training	training_question_bank	created_by	public	people	id	explicit	app/models/people/training/learning_assessment.py:473
